score,death,device
2860,hitting a wall and tumbling to my death,iPhone
3427,hitting a wall and tumbling to my death,iPad
4496,hitting a wall and tumbling to my death,iPad
3635,missing another window,iPhone
2040,colliding with some enormous obstacle,iPhone
6017,somehow hitting the edge of a billboard,iPhone
8374,knocking a building down,iPhone
2939,hitting a wall and tumbling to my death,iPad
2021,turning into a fine mist,iPad
3758,hitting a wall and tumbling to my death,iPhone
6107,hitting a wall and tumbling to my death,iPhone
4771,hitting a wall and tumbling to my death,iPhone
5347,hitting a wall and tumbling to my death,iPhone
4942,hitting a wall and tumbling to my death,iPod touch
1729,not quite reaching a billboard,iPhone
13573,falling to my death,iPhone
3105,turning into a fine mist,iPhone
1670,hitting a wall and tumbling to my death,iPod touch
9046,hitting a wall and tumbling to my death,iPod touch
734,hitting a wall and tumbling to my death,iPhone
3281,hitting a wall and tumbling to my death,iPad
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
1598,hitting a wall and tumbling to my death,iPhone
3458,hitting a wall and tumbling to my death,iPhone
3619,falling to my death,iPhone
7144,hitting a wall and tumbling to my death,iPhone
102,just barely stumbling out of the first hallway,iPod touch
4688,hitting a wall and tumbling to my death,iPod touch
932,hitting a wall and tumbling to my death,iPod touch
616,hitting a wall and tumbling to my death,iPad
7644,landing where a building used to be,iPad
8539,missing another window,iPod touch
6505,hitting a wall and tumbling to my death,iPhone
4494,turning into a fine mist,iPhone
15555,hitting a wall and tumbling to my death,iPhone
1446,hitting a wall and tumbling to my death,iPod touch
5042,missing a crane completely,iPod touch
4052,landing where a building used to be,iPhone
4982,missing another window,iPad
15822,missing another window,iPad
1562,turning into a fine mist,iPad
5846,hitting a wall and tumbling to my death,iPad
2225,hitting a wall and tumbling to my death,iPad
2464,hitting a wall and tumbling to my death,iPhone
1731,hitting a wall and tumbling to my death,iPhone
1670,hitting a wall and tumbling to my death,iPod touch
5579,missing another window,iPad
5376,hitting a wall and tumbling to my death,iPad
8627,turning into a fine mist,iPad
652,hitting a wall and tumbling to my death,iPhone
5248,missing another window,iPad
1642,hitting a wall and tumbling to my death,iPhone
2072,hitting a wall and tumbling to my death,iPhone
2628,hitting a wall and tumbling to my death,iPhone
13555,missing another window,iPhone
1822,hitting a wall and tumbling to my death,iPad
3813,turning into a fine mist,iPad
1978,turning into a fine mist,iPad
2444,missing another window,iPad
1739,turning into a fine mist,iPad
1907,missing another window,iPad
2414,hitting a wall and tumbling to my death,iPod touch
1830,hitting a wall and tumbling to my death,iPod touch
1197,turning into a fine mist,iPad
8784,turning into a fine mist,iPhone
510,somehow hitting the edge of a crane,iPad
2652,hitting a wall and tumbling to my death,iPad
5536,missing another window,iPad
4699,missing another window,iPhone
614,turning into a fine mist,iPhone
2206,hitting a wall and tumbling to my death,iPhone
2520,turning into a fine mist,iPhone
2617,colliding with some enormous obstacle,iPhone
5140,turning into a fine mist,iPad
4187,missing another window,iPhone
1918,missing another window,iPad
102,just barely stumbling out of the first hallway,iPhone
1096,hitting a wall and tumbling to my death,iPhone
1558,hitting a wall and tumbling to my death,iPhone
3631,landing where a building used to be,iPhone
4444,hitting a wall and tumbling to my death,iPhone
5634,falling to my death,iPhone
2326,not quite reaching a billboard,iPhone
864,hitting a wall and tumbling to my death,iPhone
1318,hitting a wall and tumbling to my death,iPhone
3646,hitting a wall and tumbling to my death,iPhone
5795,hitting a wall and tumbling to my death,iPhone
9912,hitting a wall and tumbling to my death,iPad
934,turning into a fine mist,iPad
6088,turning into a fine mist,iPad
7715,hitting a wall and tumbling to my death,iPhone
953,missing another window,iPhone
3414,turning into a fine mist,iPod touch
1427,hitting a wall and tumbling to my death,iPhone
5728,hitting a wall and tumbling to my death,iPad
4132,missing a crane completely,iPod touch
7525,colliding with some enormous obstacle,iPhone
2806,hitting a wall and tumbling to my death,iPhone
1644,hitting a wall and tumbling to my death,iPad
3131,hitting a wall and tumbling to my death,iPhone
5987,hitting a wall and tumbling to my death,iPhone
2740,hitting a wall and tumbling to my death,iPhone
3196,hitting a wall and tumbling to my death,iPhone
2118,hitting a wall and tumbling to my death,iPhone
5952,hitting a wall and tumbling to my death,iPad
2709,not quite reaching a billboard,iPhone
2025,hitting a wall and tumbling to my death,iPhone
7818,falling to my death,iPhone
2668,missing another window,iPhone
6588,hitting a wall and tumbling to my death,iPad
3328,hitting a wall and tumbling to my death,iPad
1355,falling to my death,iPad
2473,hitting a wall and tumbling to my death,iPod touch
3184,hitting a wall and tumbling to my death,iPod touch
